module_short_name,module_code,type,label,description,additional_info
"Anatomy, Pelvis and Perineum",BIOS305,SKILL,S4,Work collaboratively with others in a professional environment.,
Applied Biochemistry,BIOS306,LO,LO1,To critically evaluate scientific knowledge in the context of biochemistry and allied disciplines.,
Applied Biochemistry,BIOS306,LO,LO2,To synthesise information on topical issues within biochemistry.,
Applied Biochemistry,BIOS306,LO,LO3,To communicate scientific facts and data to a range of different audiences.,
Applied Biochemistry,BIOS306,SKILL,S1,To use existing knowledge as a platform to acquire deeper knowledge.,
Applied Biochemistry,BIOS306,SKILL,S2,Verbal communication,
Applied Biochemistry,BIOS306,SKILL,S3,Independent learning,
Applied Biochemistry,BIOS306,SKILL,S4,Written communication,
Cancer Pathobiology,BIOS307,LO,LO1,"Critically evaluate phenotypic behaviours of a cancer cell using knowledge of cellular functions, in order to identify possible points of therapeutic intervention.",
Cancer Pathobiology,BIOS307,LO,LO2,"Critically analyse, evaluate and align altered oncogene/tumour suppressor gene functions, DNA repair mechanisms and cellular processes to the pathological consequences for the patients.",
Cancer Pathobiology,BIOS307,LO,LO3,Critically analyse the role of cell-autonomous and non-cell-autonomous mechanisms in cancer development.,
Cancer Pathobiology,BIOS307,LO,LO4,Critically appraise discovery pathways for new diagnostic and prognostic cancer biomarkers.,List those pathways you can cover in this context. 
Cancer Pathobiology,BIOS307,LO,LO5,Analyse signalling pathways likely to become novel therapeutic targets in the near future.,List those pathways you can cover in this context. 
Cancer Pathobiology,BIOS307,SKILL,S1,Written communication,
Cancer Pathobiology,BIOS307,SKILL,S2,Critical thinking,
Cancer Pathobiology,BIOS307,SKILL,S3,Problem solving,
Cancer Pathobiology,BIOS307,SKILL,S4,Biological interpretation,
Applied Biological Sciences,BIOS308,LO,LO1,To evaluate major biological problems facing the modern world and a scientist's role in mitigating/solving these problems.,
Applied Biological Sciences,BIOS308,LO,LO2,To assess and critically evaluate scientific and non-scientific information pertinent to contemporary issues in biological sciences.,
Applied Biological Sciences,BIOS308,LO,LO3,To communicate findings via various media and to varied audiences.,
Applied Biological Sciences,BIOS308,LO,LO4,To develop high-level analytical skills and apply them to a complex problem to generate solutions.,
Applied Biological Sciences,BIOS308,LO,LO5,"To plan, run and produce a consultancy report on a topic in biological sciences.",
Applied Biological Sciences,BIOS308,LO,LO6,"To develop professional teamwork skills in the context of solving complex, multi-faceted problems.",
Applied Biological Sciences,BIOS308,SKILL,S1,Critical analysis,
Applied Biological Sciences,BIOS308,SKILL,S2,Communication to lay and professional audiences,
Applied Biological Sciences,BIOS308,SKILL,S3,Information gathering and synthesis,
Molecular Systems Biology,BIOS309,LO,LO1,Critically appraise the fundamental molecular systems biology concepts and techniques that allow life systems to be explained at the molecular level.,
Molecular Systems Biology,BIOS309,LO,LO2,Analyse and visualise omics data to give insights in biological processes at scales ranging from signalling pathways to whole organisms.,List the processes which you can cover in this context
Molecular Systems Biology,BIOS309,LO,LO3,Critically evaluate the principles of molecular systems biology and apply this to solve problems in biological science.,
Molecular Systems Biology,BIOS309,SKILL,S1,Written communication.,
Molecular Systems Biology,BIOS309,SKILL,S2,Comprehend and use data effectively.,
Molecular Systems Biology,BIOS309,SKILL,S3,Critical thinking and problem solving.,
Molecular Systems Biology,BIOS309,SKILL,S4,Visual communication,
Applied Biomedical Sciences,BIOS310,LO,LO1,"Critically evaluate some of the major health challenges facing the local, national and international communities and a biomedical scientist's role in mitigating/ seeking a solution, appreciating the bigger picture.",List the health challenges you could cover in this context
Applied Biomedical Sciences,BIOS310,LO,LO2,Access and critically evaluate scientific and non-scientific information pertinent to contemporary health challenges.,
Applied Biomedical Sciences,BIOS310,LO,LO3,"Conceptualise, develop and deliver a consultancy report on a health challenge from the perspective of a biomedical scientist.",
Applied Biomedical Sciences,BIOS310,SKILL,S1,To develop high-level analytical skills and apply them to a complex problem to generate recommendations and possible solutions.,
Applied Biomedical Sciences,BIOS310,SKILL,S2,To communicate clearly using a range of media to a variety of audiences.,
Applied Biomedical Sciences,BIOS310,SKILL,S3,"To develop professional teamwork skills as related to solving complex, multi-faceted problems.",
Applied Biomedical Sciences,BIOS310,SKILL,S4,Global citizenship,
Structural Biology,BIOS311,LO,LO1,Critically appraise the fundamental structural biology concepts and techniques that allow life to be explained at the molecular level.,
Structural Biology,BIOS311,LO,LO2,Analyse structural biology data to give insights in biological processes.,
Structural Biology,BIOS311,LO,LO3,Critically evaluate the principles of structural biology and apply this to solve problems in biological science.,
Structural Biology,BIOS311,SKILL,S1,Written communication.,
Structural Biology,BIOS311,SKILL,S2,Comprehend and use data effectively.,
Structural Biology,BIOS311,SKILL,S3,Critical thinking and problem solving.,
Structural Biology,BIOS311,SKILL,S4,Visual Communication,
Bioveterinary Innovation,BIOS312,LO,LO1,"Demonstrate competence in initiating, planning, executing, monitoring, and closing business projects effectively and efficiently.",
Bioveterinary Innovation,BIOS312,LO,LO2,"Effectively work as a team effectively by communicating openly, respecting differing perspectives, delegate tasks appropriately, and leverage individual strengths to achieve a business product or idea.",
Bioveterinary Innovation,BIOS312,LO,LO3,"Strategically plan and execute the development of a business idea or product, including designing a comprehensive business model, crafting effective marketing strategies, and conducting financial planning and forecasting to ensure long-term viability and success.",
Bioveterinary Innovation,BIOS312,LO,LO4,"Articulate business ideas clearly and persuasively, both written and orally, to diverse audiences, including potential investors, customers, and stakeholders.",
Bioveterinary Innovation,BIOS312,LO,LO5,"Explain the ethical, legal and health and safety considerations within the business sector.",
Bioveterinary Innovation,BIOS312,SKILL,S1,Digital skills,
Bioveterinary Innovation,BIOS312,SKILL,S2,Commercial awareness,
Bioveterinary Innovation,BIOS312,SKILL,S3,Global citizenship,
Translational Pharmacology,BIOS313,LO,LO1,Assess the principles of pharmacological agents used in the treatment of a range of diseases.,
Translational Pharmacology,BIOS313,LO,LO2,Appraise the underlying pathology of diseases and the mechanism of action of therapies used to treat them.,
Translational Pharmacology,BIOS313,LO,LO3,Apply an understanding of drug resistance and drug toxicity to select appropriate therapeutic strategies to overcome them.,
Translational Pharmacology,BIOS313,LO,LO4,Critically appraise information on the mechanism of action of different drugs and drug modalities and how they are used therapeutically.,
Translational Pharmacology,BIOS313,LO,LO5,Critically evaluate data pertaining to efficacy and/or safety of drug therapies used treat a range of conditions.,
Translational Pharmacology,BIOS313,SKILL,S1,Written communication,
Translational Pharmacology,BIOS313,SKILL,S2,Critical thinking,
Translational Pharmacology,BIOS313,SKILL,S3,Problem solving,
Translational Pharmacology,BIOS313,SKILL,S4,Biological interpretation,
Applied Micro & Infection,BIOS314,LO,LO1,"Evaluate the range of control interventions and strategies needed to prevent, mitigate, and control infections among at-risk populations",
Applied Micro & Infection,BIOS314,LO,LO2,"Identify the roles and responsibilities of the various stakeholders that input into global, national, and local surveillance and control measures",
Applied Micro & Infection,BIOS314,LO,LO3,"Critically evaluate the importance of effectively interpreting and disseminating data to diverse populations, and role of the media and communication.",
Applied Micro & Infection,BIOS314,SKILL,S1,To work effectively as a member of a team in order to achieve a specified task.,
Applied Micro & Infection,BIOS314,SKILL,S2,To analyse information and situations critically and apply creative thinking to solve problems.,
Applied Micro & Infection,BIOS314,SKILL,S3,To communicate ideas effectively to a variety of audiences.,
Applied Micro & Infection,BIOS314,SKILL,S4,To evaluate and evidence their own performance using reflective practice.,
Advanced Pharmacology,BIOS315,LO,LO1,"Identify the fundamental principles, and recent developments, in drug delivery systems and advanced therapeutics.",
Advanced Pharmacology,BIOS315,LO,LO2,Critically appraise advanced therapeutic technologies and their clinical applications.,
Advanced Pharmacology,BIOS315,LO,LO3,Critically evaluate the mechanisms of action of advanced therapeutics.,
Advanced Pharmacology,BIOS315,LO,LO4,Explain how cell therapies and regenerative medicine methodologies work to treat conditions.,
Advanced Pharmacology,BIOS315,LO,LO5,Critically analyse the value of advanced technologies over traditional small molecule therapeutics.,
Advanced Pharmacology,BIOS315,SKILL,S1,Written communication,
Advanced Pharmacology,BIOS315,SKILL,S2,Critical thinking,
Advanced Pharmacology,BIOS315,SKILL,S3,Problem solving,
Advanced Pharmacology,BIOS315,SKILL,S4,Biological interpretation,
Applied Pharmacology,BIOS316,LO,LO1,Appraise the fundamental process of drug development and regulation.,
Applied Pharmacology,BIOS316,LO,LO2,Identify how drugs can be repurposed for novel applications or indications.,
Applied Pharmacology,BIOS316,LO,LO3,Critically appraise and interpret research communications.,
Applied Pharmacology,BIOS316,LO,LO4,"Choose how to analyse, apply data in order to make decisions on the next steps of a project.",
Applied Pharmacology,BIOS316,LO,LO5,Evaluate data and information to inform critical decision making at different stages of the drug development process.,
Applied Pharmacology,BIOS316,SKILL,S1,Written and oral communications,
Applied Pharmacology,BIOS316,SKILL,S2,Critical thinking,
Applied Pharmacology,BIOS316,SKILL,S3,Problem solving,
Applied Pharmacology,BIOS316,SKILL,S4,Team working,
Applied Pharmacology,BIOS316,SKILL,S5,Biological interpretation,
Genomics and Evolution of Microbes,BIOS317,LO,LO1,Summarise the basic principles of microbial genomics and the tools and technologies used in the study of microbial genomics.,
Genomics and Evolution of Microbes,BIOS317,LO,LO2,"Apply the principles of microbial evolution, including the mechanisms of genetic variation, natural selection, and genetic drift, in the context of biotic and abiotic pressures.",
Genomics and Evolution of Microbes,BIOS317,LO,LO3,"Critically evaluate the evolution of pathogenic and symbiotic lifestyles with host and in microbial communities, including the genetic mechanisms underlying these relationships.",
Genomics and Evolution of Microbes,BIOS317,LO,LO4,"Analyse and interpret genomic data to address questions related to microbial evolution and ecology, with a focus on pathogenic and symbiotic relationships with host and microbial communities.",
Genomics and Evolution of Microbes,BIOS317,SKILL,S1,Bioinformatics for microbial genomics,
Genomics and Evolution of Microbes,BIOS317,SKILL,S2,Data analysis,
Genomics and Evolution of Microbes,BIOS317,SKILL,S3,Digital fluency,
Genomics and Evolution of Microbes,BIOS317,SKILL,S4,Problem solving,
Genomics and Evolution of Microbes,BIOS317,SKILL,S5,Critical thinking,
Applied Conservation Biology,BIOS318,LO,LO1,Construct justified arguments for the value of conserving biodiversity.,
Applied Conservation Biology,BIOS318,LO,LO2,"Critically evaluate the human activities that affect biodiversity and describe how they act individually and in combination to affect individuals, populations and ecosystems.",
Applied Conservation Biology,BIOS318,LO,LO3,"Make linkages between theory and practice, particularly with regard to how ecological understanding is applied in conservation schemes that students visit.",
Applied Conservation Biology,BIOS318,LO,LO4,"Critically evaluate, using case studies, and site visits, the pros and cons of a wide range of conservation interventions, from international legal instruments to local habitat management.",
Applied Conservation Biology,BIOS318,LO,LO5,"Critically analyse where conservation questions can be answered with scientific evidence, and where socio-economic and other types of information are more important.",
Applied Conservation Biology,BIOS318,SKILL,S1,Problem solving skills,
Applied Conservation Biology,BIOS318,SKILL,S2,Communication skills,
Applied Conservation Biology,BIOS318,SKILL,S3,Ethical awareness,
Applied Conservation Biology,BIOS318,SKILL,S4,GIS,
Applied Conservation Biology,BIOS318,SKILL,S5,awareness of relevant UN sustainability goals,
Global Challenges in Infection,BIOS319,LO,LO1,critically analyse the strategies needed for combatting the global challenges of infectious disease.,
Global Challenges in Infection,BIOS319,LO,LO2,compare the pathogenesis and virulence traits of key pathogens.,
Global Challenges in Infection,BIOS319,LO,LO3,critically evaluate appropriate interventions and therapies including future solutions for pathogen diseases with the scenario of pathogen evolution.,
Global Challenges in Infection,BIOS319,SKILL,S1,To generate a digital video communication that showcases the major issues for public health.,
Global Challenges in Infection,BIOS319,SKILL,S2,Synthesise arguments and key considerations relating to understanding global infectious disease.,
Veterinary Infection Biology,BIOS321,LO,LO1,appraise how pathogen physiology causes disease pathology.,
Veterinary Infection Biology,BIOS321,LO,LO2,devise epidemiological approaches to disease management in diverse settings.,
Veterinary Infection Biology,BIOS321,LO,LO3,"explain with a professional degree of technical detail how basic biology is being applied to control disease in diverse settings around the world, displaying global citizenship.",
Veterinary Infection Biology,BIOS321,LO,LO4,successfully apply diverse techniques and have practical experience of working safely with select methods.,
Veterinary Infection Biology,BIOS321,LO,LO5,"critically evaluate othersâ findings, synthesize data in the context of existing knowledge and produce a valid consensus, displaying digital fluency in their written assessments.",
Disease in Animal Populations,BIOS323,LO,LO1,Critically appraise the importance of epidemiology and statistics in animal/veterinary diseases and to appreciate its key role in One Health challenges.,
Disease in Animal Populations,BIOS323,LO,LO2,Apply and interpret epidemiological and statistical methods appropriately.,
Disease in Animal Populations,BIOS323,LO,LO3,"Appraise the key stakeholders both within and outside of government in animal population health at international, national and regional levels, and how these work in the UK, with exemplars of differences in other national settings.",
Disease in Animal Populations,BIOS323,LO,LO4,"Describe and analyse systems for classifying disease importance in populations, both infectious and non-infectious, including the importance of economics.",
Disease in Animal Populations,BIOS323,LO,LO5,"Evaluate the range of diagnostic tests used in animal populations, and how to assess their accuracy and impact.",
Disease in Animal Populations,BIOS323,LO,LO6,"Analyse, through examples, how a veterinary pathogens biology impacts on the disease it causes, and how this can be applied to aid its control.",
Disease in Animal Populations,BIOS323,SKILL,S1,Work as a team to investigate datasets and present effectively.,
Disease in Animal Populations,BIOS323,SKILL,S2,Enhance communication and group work skills.,
Disease in Animal Populations,BIOS323,SKILL,S3,Digital skills especially around presentations in written and oral formats.,
Disease in Animal Populations,BIOS323,SKILL,S4,Data science skills including data leaning and more advanced manipulation in Excel.,
Advanced Ecology,BIOS325,LO,LO1,"Critically evaluate how fundamental ecological concepts, processes and mathematical principles explain/shape the structure and dynamics of populations, communities and ecosystems, at a range of spatial and trophic scales.",
Advanced Ecology,BIOS325,LO,LO2,"Critically analyse and synthesize the contributions that ecology makes to understanding, predicting and mitigating global environmental problems.",
Advanced Ecology,BIOS325,LO,LO3,"Critically evaluate how different biological and non-biological factors and processes impinge on global environmental problems, using an evidence-based and integrative approach.",
Advanced Ecology,BIOS325,LO,LO4,"Synthesise and critically evaluate a range of information, concepts and processes relevant to key ecological problems from this module, life sciences core teaching modules and pre-requisite modules.",
Advanced Ecology,BIOS325,SKILL,S1,"Critical thinking and problem solvingâThis skill will be developed (i) through the use of evidence-based reasoning in classroom discussions and debates focussed on module topics, (ii) through critical evaluation of the uses of ecology in solving real-world problems and (iii) through reflection on the extent to which the literature reach consensus over optimal approaches to solve ecological problems (or indicate knowledge gaps).",
Advanced Ecology,BIOS325,SKILL,S2,"Verbal and written communicationâStudents will have opportunities to develop written and oral communication skills through group discussions and debates, groupwork, and written assessments. In addition, this skill will be developed through an understanding of the constituent elements of strong arguments, and exercises in the deconstruction of the student's own arguments, as well as scholarly arguments within research papers.",
Advanced Ecology,BIOS325,SKILL,S3,TeamworkâThis skill will be developed through preparation for discussion sessions in groups and for planning and carrying out the integrative ecology assignment (groupwork).,
Advanced Ecology,BIOS325,SKILL,S4,Improving own learning/performance - Reflective practiceâStudents will have opportunities to improve their learning and performance through reflection on (i) their understanding of advanced ecological topics and the ways in which peer discussion/ debate alters this and ii) feedback given during discussion sessions and following AO learning tasks as appropriate.,
Advanced Ecology,BIOS325,SKILL,S5,Comprehend and use data effectivelyâThis skill will be developed using data-based learning activities and computer labs (for any topic that requires this).,
Advanced Ecology,BIOS325,SKILL,S6,Evidence based reasoningâThis will be developed in students first through discussion and debate seminars (and linked AO learning tasks) and subsequently through evidence synthesis and critical evaluation of the use of advanced ecology to solve global environmental problems.,
Advanced Ecology,BIOS325,SKILL,S7,Solving problems in a systematic and creative mannerâThis skill will be developed in students through an advanced understanding of the ways in which ecology can be used to solve environmental problems and the review and critical evaluation of this application of ecological theory.,
Advanced Ecology,BIOS325,SKILL,S8,"Independent-learningâThis skill will be developed in students through their self-directed reading on the topics of the module, and through researching the module topics for discussions, debates, learning tasks and assignments. This skill will be evident (and assessed) through assignments.",
Advanced Ecology,BIOS325,SKILL,S9,"Digital skillsâThis broad set of skills will be developed through the (i) the need to efficiently review and synthesise areas of the scientific literature using online databases (ii) through the handling and analysis of data for topics requiring data-based asynchronous learning tasks, and using software to create diagrams to communicate conceptual or review-based information.",
Advanced Ecology,BIOS325,SKILL,S10,"Information retrieval and reviewâThis skill will be fostered through assignments that require the review, critical evaluation and synthesis of information from the ecological literature and related relevant fields.",
Evolutionary Biology,BIOS327,LO,LO1,Appraise the origins of heritable phenotypic variation and the significance of trait architecture.,
Evolutionary Biology,BIOS327,LO,LO2,Critically evaluate the main factors that cause changes in the genetic constitution of populations and how they affect the rate of evolutionary change.,
Evolutionary Biology,BIOS327,LO,LO3,"Critically discuss a series of topics in evolutionary biology, including life history evolution, molecular signatures of natural selection, evolutionary arms races, parallel evolution, and speciation.",
Evolutionary Biology,BIOS327,SKILL,S1,Written and oral communication,
Evolutionary Biology,BIOS327,SKILL,S2,Information retrieval and review,
Evolutionary Biology,BIOS327,SKILL,S3,Critical thinking and problem solving,
Evolutionary Biology,BIOS327,SKILL,S4,Quantitative analysis and interpretation,
Anatomy Head & Neck,BIOS329,LO,LO1,Appraise the structural and topographical complexity of the main anatomical attributes of the head and neck region.,
Anatomy Head & Neck,BIOS329,LO,LO2,Integrate knowledge of spatial relationships and interconnectivity to explain the anatomical bases to important functions and structural interdependencies.,
Anatomy Head & Neck,BIOS329,LO,LO3,"Evaluate structure and function in the head and neck region using common diagnostic imaging modalities such as x-rays, CT and MRI scans.",
Anatomy Head & Neck,BIOS329,SKILL,S1,Communicate scientific knowledge confidently to a specified audience using appropriate terminology.,
Anatomy Head & Neck,BIOS329,SKILL,S2,Show awareness of ethical and legal constraints of working with cadaveric material.,
Anatomy Head & Neck,BIOS329,SKILL,S3,Thinking critically and enhanced problem solving.,
How do cells make decisions?,BIOS331,LO,LO1,Explore and evaluate how cells receive information and transmit it along distinct pathways to generate different physiological responses.,
How do cells make decisions?,BIOS331,LO,LO2,"Critically discuss how post-translational modifications mediate information transfer, how the major kinase and second messenger pathways are stimulated and how they function in normal cells.",
How do cells make decisions?,BIOS331,LO,LO3,Appraise the pathophysiological consequences of dysregulated cell signalling.,
How do cells make decisions?,BIOS331,LO,LO4,Critically analyse experimental data relating to the study of cell signalling.,
How do cells make decisions?,BIOS331,SKILL,S1,Problem solving skills,
How do cells make decisions?,BIOS331,SKILL,S2,Communication skills,
Zoology Field Course,BIOS333,LO,LO1,"Perform overseas fieldwork in a safe, respectful, ethical and sustainable way, being considerate of the needs of other students, of local culture, the needs and perspectives of local people and the pressures acting on the local environment.",
Zoology Field Course,BIOS333,LO,LO2,Maintain a clearly presented field record that logically documents all aspects of the work completed on the field course,
Zoology Field Course,BIOS333,LO,LO3,"Critically evaluate different strategies for conservation, via site visits, interaction with conservation professionals, lectures and seminars, teacher-directed and self-directed reading and discussion sessions.",
Zoology Field Course,BIOS333,LO,LO4,"Create and carry out a statistically-valid field-based study to obtain ecological, evolutionary or behavioural data, by applying appropriate field survey or experimental methods.",
Zoology Field Course,BIOS333,LO,LO5,Analyse and critically evaluate data collected from the field-based scientific project using appropriate statistical techniques to draw appropriate interpretations and conclusions.,
Zoology Field Course,BIOS333,SKILL,S1,"Global citizenshipâ This skill will be fostered by taking part in the field course in an overseas location, and understanding and behaving appropriately to the environmental and cultural values of that place.",
Zoology Field Course,BIOS333,SKILL,S2,"Problem solving and reasoning skillsâThis skill will be developed through the conception, development and testing of field project ideas, through the critical evaluation of conservation projects and via the contextualisation and interpretation of results.",
Zoology Field Course,BIOS333,SKILL,S3,"Verbal and written communicationâStudents will have opportunities to develop written and oral communication skills through group discussions, oral presentations and written assessments. In addition, this skill will be developed through an understanding of the constituent elements of strong arguments, and exercises in the deconstruction of the student's own arguments, as well as scholarly arguments within research papers.",
Zoology Field Course,BIOS333,SKILL,S4,"Critical thinkingâThis skill will be developed in classroom debates focussed on human-wildlife conflict, through critical evaluation and reflection on the effectiveness of different approaches to conservation and through the conception and design of survey/ experimental studies in the field.",
Zoology Field Course,BIOS333,SKILL,S5,"Use data effectivelyâThis skill will be developed through teaching and discussion on the design of surveys and experiments and the use of statistical analysis to address scientific questions and hypotheses, and through the studentâs analysis of their own field research data.",
Zoology Field Course,BIOS333,SKILL,S6,"Evidence based reasoningâThis will be evident from the studentâs use of evidence in debates and discussions, including evaluation of the effectiveness of conservation projects, and from the interpretations and conclusions they draw from their results.",
Zoology Field Course,BIOS333,SKILL,S7,Information retrieval and reviewâThis skill will be evident in the information they present as background to their scientific reports.,
Zoology Field Course,BIOS333,SKILL,S8,"Time management and organisational skillsâThis will be evident in the studentsâ independent management of their field projects, their oral presentation and written assignment and by meeting scheduled timings for field-course activities and coursework deadlines.",
Zoology Field Course,BIOS333,SKILL,S9,"Adaptabilityâwill be fostered through the development and refinement of workable plans to carry out the field project in groups, and the division and management of project tasks within student groups",
Zoology Field Course,BIOS333,SKILL,S10,"Improving own learning/performance - Reflective practiceâStudents will have opportunities to improve their learning and performance through reflection on (i) their ideas for research projects, in discussions with teaching staff, (ii) feedback given following preliminary and summative oral presentations, and through pre-submission feedback on approach to the scientific report submission.",
Zoology Field Course,BIOS333,SKILL,S11,"Independent-learningâThis skill will be developed in students through their self-directed reading on the topics of the module, and through researching the background to their scientific project, which will be evident through the background/ introduction sections to their oral presentation and scientific report.",
Zoology Field Course,BIOS333,SKILL,S12,"Digital skillsâThis broad set of skills will be developed through the students handling of data and data analyses, through interrogation of literature and use of online databases and through use of software to present and communicate results.",
Zoology Field Course,BIOS333,SKILL,S13,"Ethical awarenessâThis skill will be developed through discussion of human-wildlife conflicts as they present in different conservation projects, through considering the ethical implications of different approaches to conservation, and though consideration of the potential environmental and cultural impacts of visiting another country with a distinct set of environmental and cultural values.",
Zoology Field Course,BIOS333,SKILL,S14,"Team workâThis skill will be developed through students working together to effectively plan, execute and communicate the results of their field projects.",
Immunology and Vet Pathology,BIOS335,LO,LO1,"Analyse and differentiate the haematological and immune responses of different hosts, highlighting key factors that contribute to variations in veterinary diseases.",
Immunology and Vet Pathology,BIOS335,LO,LO2,"Explain how cellular systems may deviate from normal functioning, contributing to or causing veterinary diseases.",
Immunology and Vet Pathology,BIOS335,LO,LO3,"Working from comparative veterinary examples, appraise critically how the pathological changes underpin the inflammatory, immune and healing responses.",
Immunology and Vet Pathology,BIOS335,LO,LO4,Explain how different immune systems respond to both intracellular and extracellular pathogens.,
Immunology and Vet Pathology,BIOS335,LO,LO5,"Recall key aspects of host responses and pathology associated with animal diseases, and apply that knowledge and critical thinking skills to analyse and interpret real-world scenarios of common diseases encountered in veterinary practice.",
Immunology and Vet Pathology,BIOS335,SKILL,S1,Written communication,
Immunology and Vet Pathology,BIOS335,SKILL,S2,Digital skills,
Immunology and Vet Pathology,BIOS335,SKILL,S3,Information retrieval and review,
Immunology and Vet Pathology,BIOS335,SKILL,S4,Critical thinking and problem solving,
Immunology and Vet Pathology,BIOS335,SKILL,S5,Global citizenship,
Immunology and Vet Pathology,BIOS335,SKILL,S6,Self-evaluation skills,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RESEARCH PROJECT,LIFE700,SKILL,S1,ââTechnical proficiency in experimental or observational methods relevant to the specific project,
RESEARCH PROJECT,LIFE700,SKILL,S2,"ââProblem solving skills, numeracy, IT skills",
RESEARCH PROJECT,LIFE700,SKILL,S3,"ââCommunication skills, ethical awareness.",
RESEARCH PROJECT,LIFE700,SKILL,S4,Team work and âOrganisational skills,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
RESEARCH INTERNSHIP,LIFE701,SKILL,S1,ââProblem solving skills,
RESEARCH INTERNSHIP,LIFE701,SKILL,S2,ââTeamwork,
RESEARCH INTERNSHIP,LIFE701,SKILL,S3,ââCommunication skills,
RESEARCH INTERNSHIP,LIFE701,SKILL,S4,ââEthical awareness,
RESEARCH INTERNSHIP,LIFE701,SKILL,S5,Â,
,,,,,
,,,,,
,,,,,
,,,,,
INTRODUCTION TO RESEARCH,LIFE702,SKILL,S1,Technical writing,
INTRODUCTION TO RESEARCH,LIFE702,SKILL,S2,Independence,
INTRODUCTION TO RESEARCH,LIFE702,SKILL,S3,Time management,
INTRODUCTION TO RESEARCH,LIFE702,SKILL,S4,Reflective learning,
,,,,,
,,,,,
,,,,,
,,,,,
MSC RESEARCH PROJECT,LIFE703,SKILL,S1,"âResearch management: developing a research strategy, project planning and delivery, risk management, formulating questions, selecting literature, using primary / secondary / diverse sources, collecting and using data, applying research methods, applying ethics.",
MSC RESEARCH PROJECT,LIFE703,SKILL,S2,"âSelf-management: readiness to accept responsibility (that is, leadership), flexibility, resilience, self-starting, initiative, integrity, willingness to take risks, appropriate assertiveness, time management, readiness to improve own performance based on feedback / reflective learning;",
MSC RESEARCH PROJECT,LIFE703,SKILL,S3,"âTeam (group) working: respecting others, co-operating, negotiating / persuading, awareness of interdependence with others.",
,,,,,
,,,,,
,,,,,
,,,,,
BIOL DATA SKILLS,LIFE707,SKILL,S1,Digital fluency,
BIOL DATA SKILLS,LIFE707,SKILL,S2,Data analysis,
BIOL DATA SKILLS,LIFE707,SKILL,S3,Communication skills,
,,,,,
,,,,,
,,,,,
EVOLUTION AND BEHAVIOUR,LIFE709,SKILL,S1,"â Team (group) working respecting others, co-operating, negotiating / persuading, awareness of interdependence with others",
EVOLUTION AND BEHAVIOUR,LIFE709,SKILL,S2,"Communication, listening and questioning respecting others, contributing to discussions, communicating in a foreign language, influencing, presentations",
EVOLUTION AND BEHAVIOUR,LIFE709,SKILL,S3,"âInformation literacy online, finding, interpreting, evaluating, managing and sharing information",
EVOLUTION AND BEHAVIOUR,LIFE709,SKILL,S4,Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.,
EVOLUTION AND BEHAVIOUR,LIFE709,SKILL,S5,"Literacy application of literacy, ability to produce clear, structured written work and oral literacy - including listening and questioning",
,,,,,
,,,,,
,,,,,
,,,,,
INFORMATICS FOR LIFE SCIENCES,LIFE721,SKILL,S1,"Learning skills online, studying and learning effectively in technology-rich environments, formal and informal",
INFORMATICS FOR LIFE SCIENCES,LIFE721,SKILL,S2,Problem solving/critical thinking/creativity analysing facts and situations and applying creative thinking to develop appropriate solutions,
INFORMATICS FOR LIFE SCIENCES,LIFE721,SKILL,S3,Communication and collaboration online participating in digital networks for learning and research,
,,,,,
,,,,,
,,,,,
,,,,,
Cancer Research and Treatment,LIFE724,SKILL,S1,Problem solving,
Cancer Research and Treatment,LIFE724,SKILL,S2,Presentation of scientific data,
Cancer Research and Treatment,LIFE724,SKILL,S3,Critical assessment of scientific data,
,,,,,
,,,,,
,,,,,
,,,,,
Cancer Clinical Trials,LIFE726,SKILL,S1,Scientific communication,
Cancer Clinical Trials,LIFE726,SKILL,S2,Develop critical thinking,
Cancer Clinical Trials,LIFE726,SKILL,S3,Digital fluency,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Immunology,LIFE728,SKILL,S1,"Deal with complex issues both systematically and creatively, and communicate their conclusions clearly to audiences",
Immunology,LIFE728,SKILL,S2,Develop transferable skills; exercising initiative; independent-learning ability; digital fluency,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Research Methods in Biol Sci,LIFE731,SKILL,S1,Communication Skills,
Research Methods in Biol Sci,LIFE731,SKILL,S2,Organisational Skills,
Research Methods in Biol Sci,LIFE731,SKILL,S3,Lifelong learning skills,
Research Methods in Biol Sci,LIFE731,SKILL,S4,Problem solving/ critical thinking/ creativity analysing facts and situations and applying creative thinking to develop appropriate solutions.,
Research Methods in Biol Sci,LIFE731,SKILL,S5,"Global perspectives demonstrate international perspectives as professionals/citizens; locate, discuss, analyse, evaluate information from international sources; consider issues from a variety of cultural perspectives, consider ethical and social responsibility issues in international settings; value diversity of language and culture",
,,,,,
,,,,,
,,,,,
"Diagnostics, Therapeutics and Vaccines",LIFE732,SKILL,S1,"Deal with complex issues both systematically and creatively, and communicate their conclusions clearly to audiences",
"Diagnostics, Therapeutics and Vaccines",LIFE732,SKILL,S2,Develop transferable skills; exercising initiative; independent-learning ability; digital fluency,
,,,,,
,,,,,
,,,,,
